File,Line,JSX Kind,Type,Variant Guess,On Glass,Classes,SizeOK,FocusOK,OceanOK,Issues
frontend/src/components/Jobs/JobListingsPage.js,151,button,icon-only,Icon-only (Share),N,hover:bg-gray-100 ring-ocean-500 ring-offset-2 (focus-visible),Y,Y,Y,
frontend/src/components/Jobs/JobListingsPage.js,206,button,text,Outline,N,border-2 border-ocean-600 text-ocean-600 hover:bg-ocean-600 hover:text-white rounded-lg,Y,Y,Y,
frontend/src/components/Jobs/JobListingsPage.js,211,Link,text,Outline,N,border-2 border-ocean-600 text-ocean-600 hover:bg-ocean-600 hover:text-white rounded-lg,Y,Y,Y,
frontend/src/components/Jobs/JobListingsPage.js,217,button,text,Primary,N,bg-gradient-to-b from-ocean-500 to-ocean-600 hover:from-ocean-600 hover:to-ocean-700 text-white rounded-lg,Y,Y,Y,
frontend/src/components/Jobs/JobListingsPage.js,695,button,text,Primary (btn-ocean),N,btn-ocean px-6 py-2 rounded-lg text-sm w-full md:w-auto,Y,Y,Y,class alias used
frontend/src/components/Jobs/JobListingsPage.js,696,button,text,Outline,N,btn-ocean-outline px-4 py-2 rounded-lg text-sm w/full md:w-auto,Y,Y,Y,
frontend/src/components/Jobs/JobListingsPage.js,276,button,icon-only,Icon-only (Share in list),N,p-2 rounded-full hover:bg-gray-100,N,N,Y,missing 44×44/focus ring
frontend/src/components/Notifications/NotificationsPage.js,266,button,text,Primary,N,bg-gradient-to-b from-ocean-500 to-ocean-600 ... text-white rounded-lg,Y,Y,Y,
frontend/src/components/Notifications/NotificationsPage.js,272,button,text,Destructive,N,bg-gradient-to-b from-red-500 to-red-600 ... text-white rounded-lg,Y,Y,Y,
frontend/src/components/Notifications/NotificationsPage.js,310,button,text,Secondary,N,bg-gray-100 text-gray-800 hover:bg-gray-200 rounded-lg,Y,Y,Y,
frontend/src/components/Notifications/NotificationsPage.js,335,button,text,Outline,N,border-2 border-ocean-600 text-ocean-600 hover:bg-ocean-600 hover:text-white rounded-lg,Y,Y,Y,
frontend/src/components/Notifications/NotificationsPage.js,345,button,text,Tabs (nav),N,bg-gray-100 border-b-2 border-ocean-500,Y,N,Y,no 44×44 on tabs (nav ok)
frontend/src/components/Directory/DirectoryPage.jsx,271,input,text,N/A,N,... focus:border-indigo-500 focus:ring-1 focus:ring-indigo-500,Y,N,N,indigo focus; expect ocean + focus-visible
frontend/src/components/Directory/DirectoryPage.jsx,311,button,chip-remove,Secondary?,N,... rounded-full bg-indigo-100 p-0.5 hover:bg-indigo-200 (XMarkIcon text-indigo-600),N,N,N,indigo tokens; no 44×44; missing focus-visible
frontend/src/components/Directory/DirectoryPage.jsx,322,button,chip-remove,Secondary?,N,... rounded-full bg-indigo-100 p-0.5 hover:bg-indigo-200 (XMarkIcon text-indigo-600),N,N,N,indigo tokens; no 44×44; missing focus-visible
frontend/src/components/Directory/DirectoryPage.jsx,334,Link,text,Link,N,text-slate-500 hover:text-indigo-600,Y,N,N,use Link variant ocean + focus-visible
frontend/src/components/Directory/DirectoryPage.jsx,354,div,strip,N/A,N,bg-gradient-to-r from-sky-50 to-indigo-50 ... bg-sky-500,Y,Y,N,color tokens non-ocean (content; not a button)
frontend/src/components/Directory/DirectoryPage.jsx,396,span,text,N/A,N,text-indigo-600,Y,Y,N,display color non-ocean (content)
frontend/src/components/Directory/DirectoryPage.jsx,436,input,text,N/A,N,... focus:border-indigo-500 focus:ring-1 focus:ring-indigo-500,Y,N,N,indigo focus; expect ocean + focus-visible
frontend/src/components/Directory/DirectoryPage.jsx,447,input,text,N/A,N,... focus:border-indigo-500 focus:ring-1 focus:ring-indigo-500,Y,N,N,indigo focus; expect ocean + focus-visible
frontend/src/components/Directory/DirectoryPage.jsx,464,button,text,Primary,N,rounded-lg bg-indigo-600 ... focus:ring-indigo-500,N,N,N,use Primary ocean gradient; add min-h[44] + focus-visible
frontend/src/components/Directory/DirectoryCardSplit.jsx,162,button,text,Primary,N,... bg-indigo-600 hover:bg-indigo-700 ... focus:ring-indigo-500,N,N,N,use Primary ocean gradient; add min-h[44] + focus-visible
frontend/src/components/Directory/AlumniDirectory.js,285,input,text,N/A,N,... focus:ring-indigo-500 focus:border-indigo-500,Y,N,N,indigo focus; expect ocean + focus-visible
frontend/src/components/Directory/AlumniDirectory.js,296,input,checkbox,N/A,N,... text-indigo-600 ... focus:ring-indigo-500,Y,N,N,indigo tokens; ring should be ocean
frontend/src/components/Directory/AlumniDirectory.js,330,input,text,N/A,N,... focus:ring-2 focus:ring-indigo-500 focus:border-indigo-500,Y,N,N,indigo focus; expect ocean + focus-visible
frontend/src/components/Directory/AlumniDirectory.js,372,button,text,Link,N,text-sm text-gray-600 hover:text-indigo-600 hover:underline,Y,N,N,make Link variant ocean + focus-visible
frontend/src/components/Directory/AlumniDirectory.js,468,button,text,Secondary,N,px-4 py-2 bg-white border border-gray-300 rounded-lg ...,N,N,Y,add min-h[44] + focus-visible
frontend/src/components/Directory/AlumniDirectory.js,469,button,text,Primary,N,px-4 py-2 bg-indigo-600 text-white ...,N,N,N,use Primary ocean gradient + min-h[44] + focus-visible
frontend/src/components/Directory/AlumniCard.js,137,Link,text,Primary,N,w-full ... bg-gradient-to-r from-blue-600 to-indigo-600 ...,N,N,N,blue/indigo gradient → Primary ocean gradient + min-h[44] + focus-visible
frontend/src/components/Directory/AlumniCard.js,43,div,avatar-fallback,N/A,N,bg-gradient-to-r from-blue-500 to-indigo-600,Y,Y,N,non-button visuals (color drift)
frontend/src/components/Directory/AlumniListItem.js,33,img,avatar,N/A,N,ring-indigo-100,Y,Y,N,non-button visuals (color drift)
frontend/src/components/Directory/AlumniListItem.js,68,p,text,N/A,N,text-indigo-600,Y,Y,N,non-button text color
frontend/src/components/Messages/ChatWindow.js,447,button,chip,Ghost?,N,px-2 py-0.5 rounded-full bg-blue-50 text-blue-700 border border-blue-200,N,N,N,blue tokens; chip under 44px; missing focus-visible
frontend/src/components/Messages/NewConversationModal.js,101,input,text,N/A,N,... focus:ring-2 focus:ring-indigo-500,Y,N,N,indigo focus; expect ocean + focus-visible
frontend/src/components/Messages/NewConversationModal.js,93,button,icon-only (dialog close),Ghost,N,text-gray-400 hover:text-gray-600,N,N,Y,missing 44×44; missing focus-visible
frontend/src/components/Messages/ConnectionsPanel.jsx,40,button,text (Accept),Primary?,N,px-2 py-1 text-xs rounded bg-green-600 text-white hover:bg-green-700,N,N,N,should be Primary ocean; add min-h[44] + focus-visible
frontend/src/components/Messages/ConnectionsPanel.jsx,43,button,text (Reject),Destructive,N,px-2 py-1 text-xs rounded bg-red-600 text-white hover:bg-red-700,N,N,Y,add min-h[44] + focus-visible
frontend/src/components/Messages/ConnectionsPanel.jsx,46,button,text (Cancel),Secondary,N,px-2 py-1 text-xs rounded bg-gray-200 text-gray-700 hover:bg-gray-300,N,N,Y,add min-h[44] + focus-visible
frontend/src/components/Messages/ConnectionsPanel.jsx,49,button,text (Message),Primary,N,px-2 py-1 text-xs rounded bg-ocean-600 text-white hover:bg-ocean-700,N,N,Y,add min-h[44] + focus-visible
frontend/src/components/Messages/ConnectionsPanel.jsx,52,button,text (Disconnect),Destructive,N,px-2 py-1 text-xs rounded bg-red-600 text-white hover:bg-red-700,N,N,Y,add min-h[44] + focus-visible
frontend/src/components/Messages/Messages-part3.js,130,button,icon-only (toolbar),Ghost,N,p-2 text-gray-400 hover:text-gray-600 hover:bg-gray-100 rounded-lg,N,N,Y,icon-only missing 44×44 + focus-visible
frontend/src/components/Messages/Messages-part3.js,134,button,icon-only (toolbar),Ghost,N,p-2 text-gray-400 hover:text-gray-600 hover:bg-gray-100 rounded-lg,N,N,Y,icon-only missing 44×44 + focus-visible
frontend/src/components/Messages/Messages-part3.js,139,button,icon-only (toolbar),Ghost,N,p-2 text-gray-400 hover:text-gray-600 hover:bg-gray-100 rounded-lg,N,N,Y,icon-only missing 44×44 + focus-visible
frontend/src/components/Messages/Messages-part3.js,142,button,icon-only (toolbar),Ghost,N,p-2 text-gray-400 hover:text-gray-600 hover:bg-gray-100 rounded-lg,N,N,Y,icon-only missing 44×44 + focus-visible
frontend/src/components/Messages/MessagingSystem.js,249,button,text (Retry),Primary,N,btn-ocean,Y,Y,Y,class alias; assumed compliant
frontend/src/components/Admin/UserManagement.js,719,button,icon-only (View),Ghost,N,inline-flex w-[44px] h-[44px] p-0 rounded-lg ... hover:bg-gray-50 focus-visible:ring-2 focus-visible:ring-ocean-500 focus-visible:ring-offset-2,Y,Y,Y,OK
frontend/src/components/Admin/UserManagement.js,726,button,icon-only (Edit),Ghost,N,inline-flex w-[44px] h-[44px] p-0 rounded-lg ... hover:bg-gray-50 focus-visible:ring-2 focus-visible:ring-ocean-500 focus-visible:ring-offset-2,Y,Y,Y,OK
frontend/src/components/Admin/UserManagement.js,736,button,icon-only (Approve),Secondary,N,inline-flex w-[44px] h-[44px] p-0 rounded-lg ... hover:bg-green-100 focus-visible:ring-2 focus-visible:ring-ocean-500 focus-visible:ring-offset-2,Y,Y,Y,Green for hover (badge color) OK
frontend/src/components/Admin/UserManagement.js,744,button,icon-only (Reject),Destructive,N,inline-flex w-[44px] h-[44px] p-0 rounded-lg ... hover:bg-red-100 focus-visible:ring-2 focus-visible:ring-ocean-500 focus-visible:ring-offset-2,Y,Y,Y,OK
frontend/src/components/Admin/UserManagement.js,815,button,text (Prev),Outline,N,border-2 border-ocean-600 text-ocean-600 ... focus-visible:ring-2 focus-visible:ring-ocean-500 focus-visible:ring-offset-2,Y,Y,Y,OK
frontend/src/components/Admin/UserManagement.js,818,button,text (Next),Outline,N,border-2 border-ocean-600 text-ocean-600 ... focus-visible:ring-2 focus-visible:ring-ocean-500 focus-visible:ring-offset-2,Y,Y,Y,OK
frontend/src/components/Admin/ActivityLogs.js,60,button,text (Apply),Primary,N,btn-ocean px-4 min-h-[44px] focus-visible:ring-2 focus-visible:ring-ocean-500 focus-visible:ring-offset-2,Y,Y,Y,OK
frontend/src/components/Admin/ActivityLogs.js,61,button,text (Reset),Outline,N,btn-ocean-outline px-4 min-h-[44px] focus-visible:ring-2 focus-visible:ring-ocean-500 focus-visible:ring-offset-2,Y,Y,Y,OK
frontend/src/components/Admin/EditUserModal.js,84,button,text (Save Changes),Primary,N,bg-indigo-600 hover:bg-indigo-700 ... disabled:bg-indigo-400,N,N,N,indigo tokens; add ocean + focus-visible + min-h
frontend/src/components/Admin/ContentDetailsModal.js,85,button,text (Close),Secondary,N,bg-indigo-100 text-indigo-900 ... focus-visible:ring-indigo-500,N,N,N,indigo tokens; add ocean + focus-visible + min-h
frontend/src/components/Admin/RoleManagement.js,332,select,control,N/A,N,... focus:ring-blue-500,Y,N,N,blue focus; change to ocean
frontend/src/components/Admin/JobApplicationReview.js,296,a,link-button,Primary,N,bg-indigo-600 hover:bg-indigo-700 text-white px-4 py-2 rounded-md,N,N,N,indigo tokens; add ocean + focus-visible + min-h
frontend/src/components/Events/EventDetail.js,308,button,text (Attend Event),Primary,N,w-full bg-blue-600 text-white ... hover:bg-blue-700,N,N,N,blue tokens; add Primary ocean gradient + min-h[44] + focus-visible
frontend/src/components/Events/EventDetail.js,305,button,text (Cancel RSVP),Link,N,text-sm text-red-500 hover:underline,N,N,Y,treat as Secondary/Link with focus-visible
frontend/src/components/Events/EventDetail.js,358,Link,link-button,Primary,N,bg-indigo-500 text-white ... hover:bg-indigo-600,N,N,N,indigo tokens; add Primary ocean + min-h[44] + focus-visible
frontend/src/components/Events/EditEvent.js,582,label,upload trigger,Link,N,... text-blue-600 hover:text-blue-500 ... focus-within:ring-blue-500,N,N,N,blue tokens; needs ocean focus-visible on actual trigger
