name,district,website,has_alumni_platform,alumni_details,alumni_links
PSG College of Technology,Coimbatore,https://psgtech.edu,No,"Error accessing website: HTTPSConnectionPool(host='psgtech.edu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1000)')))",N/A
Coimbatore Institute of Technology,Coimbatore,https://cit.edu,No,No alumni-related content found,N/A
"Government College of Technology, Coimbatore",Coimbatore,https://gct.ac.in,Yes,Found keywords: graduates,"[{""text"": ""GCT , the placement powerhouse - \""A glimpse into the proud moment of our graduates stepping into the professional world\"""", ""url"": ""https://gct.ac.in/home-gallery""}, {""text"": ""View"", ""url"": ""https://www.gctalumni.org.in/""}]"
Kumaraguru College of Technology,Coimbatore,https://kct.ac.in,Yes,Found keywords: alumni,"[{""text"": ""Alumni"", ""url"": ""https://kct.ac.in/alumni/""}, {""text"": ""Alumni"", ""url"": ""https://kct.ac.in/alumni/""}, {""text"": ""Alumni"", ""url"": ""https://kct.ac.in/alumni/""}]"
Sri Ramakrishna Engineering College,Coimbatore,https://srec.ac.in,Yes,Found keywords: alumnus,N/A
Karpagam College of Engineering,Coimbatore,https://kce.ac.in,Yes,Found keywords: alumni,"[{""text"": ""Student Alumni"", ""url"": ""http://115.249.154.33/Alumni/""}, {""text"": ""Alumni Success Stories"", ""url"": ""https://kce.ac.in/alumni-success-stories/""}]"
Sri Krishna College of Engineering & Technology,Coimbatore,https://skcet.ac.in,Yes,"Found keywords: graduates, alumni","[{""text"": ""Alumni"", ""url"": ""https://skcet.ac.in/student-life/alumni/""}, {""text"": ""Alumni"", ""url"": ""https://skcet.ac.in/student-life/alumni/""}, {""text"": ""Alumni"", ""url"": ""https://skcet.ac.in/student-life/alumni/""}]"
SNS College of Technology,Coimbatore,https://snscollege.ac.in,No,No alumni-related content found,N/A
KPR Institute of Engineering and Technology,Coimbatore,https://kpriet.ac.in,Yes,Found keywords: alumni,"[{""text"": ""Alumni"", ""url"": ""javascript:void(0)""}, {""text"": ""Office of Alumni (OAR)"", ""url"": ""https://kpriet.ac.in/alumni""}, {""text"": ""Alumni"", ""url"": ""javascript:void(0)""}, {""text"": ""Alumni Home Page"", ""url"": ""https://kpriet.ac.in/alumni""}]"
Dr. Mahalingam College of Engineering and Technology,Coimbatore,https://mcet.in,No,"Error accessing website: HTTPSConnectionPool(host='mcet.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108e3ef90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Rathinam Technical Campus,Coimbatore,https://rathinamtechnicalcampus.com,Yes,Found keywords: alumni,"[{""text"": ""Alumni"", ""url"": ""http://alumni.rathinamcollege.com/""}, {""text"": ""Alumni"", ""url"": ""http://alumni.rathinamcollege.com/""}]"
Thiagarajar College of Engineering,Madurai,https://tce.edu,Yes,"Found keywords: alumni, alumnus","[{""text"": ""Alumni"", ""url"": ""https://tce.edu/alumni""}]"
Kamaraj College of Engineering and Technology,Madurai,https://kamarajengg.edu,No,"Error accessing website: HTTPSConnectionPool(host='kamarajengg.edu', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108af6de0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Solamalai College of Engineering,Madurai,https://solamalai.edu,No,"Error accessing website: HTTPSConnectionPool(host='solamalai.edu', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108af6de0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Vaigai College of Engineering,Madurai,https://vaigaicollege.edu,No,"Error accessing website: HTTPSConnectionPool(host='vaigaicollege.edu', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108af6de0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
KLN College of Information Technology,Madurai,https://klnce.edu,Yes,Found keywords: alumni,"[{""text"": ""Alumni"", ""url"": ""https://klnce.edu/alumni/login.html""}, {""text"": """", ""url"": ""https://klnce.edu/alumni/login.html""}, {""text"": ""Alumni"", ""url"": ""https://klnce.edu/alumni/login.html""}]"
Kongu Engineering College,Erode,https://kongu.edu,No,"Error accessing website: HTTPSConnectionPool(host='kongu.edu', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10da27680>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Bannari Amman Institute of Technology,Erode,https://bitsathy.ac.in,Yes,Found keywords: alumni,"[{""text"": ""ALUMNI"", ""url"": ""https://www.bitsathy.ac.in/alumni/""}]"
Erode Sengunthar Engineering College,Erode,https://erodesengunthar.ac.in,No,"Error accessing website: HTTPSConnectionPool(host='erodesengunthar.ac.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10db336e0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Velalar College of Engineering and Technology,Erode,https://vcet.ac.in,Yes,"Found keywords: alumni registration, alumni","[{""text"": ""Alumni"", ""url"": ""https://vcet.ac.in""}, {""text"": ""Distinguished Alumni"", ""url"": ""https://vcet.ac.in/vcetit/disa.html""}, {""text"": ""Alumni Registration"", ""url"": ""https://vcet.ac.in/vcetit/areg.html""}]"
Institute of Road and Transport Technology,Erode,https://irtt.ac.in,No,"Error accessing website: HTTPSConnectionPool(host='irtt.ac.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10db33e90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Sri Sivasubramaniya Nadar College of Engineering,Chennai,https://ssn.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='ssn.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10db30a40>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Sri Sai Ram Engineering College,Chennai,https://sairam.edu.in,Yes,"Found keywords: graduates, alumnus","[{""text"": ""View Event"", ""url"": ""https://cce.sairam.edu.in/department-of-ece-in-association-with-mhrd-institute-innovation-council-alumni-association-ipr-club-conducted-a-webinar-on-identifying-intellectual-property-component-at-the-early-stage-of-inno/""}]"
Easwari Engineering College,Chennai,https://easwariengg.com,No,"Error accessing website: HTTPSConnectionPool(host='easwariengg.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10db50350>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Jerusalem College of Engineering,Chennai,https://jerusalemengg.ac.in,Yes,"Found keywords: alumnus, alumni, alumni meet, alumni registration, alumna","[{""text"": ""Alumni"", ""url"": ""https://jerusalemengg.ac.in/alumni/alumni.php""}, {""text"": ""Alumni Corner \u2013 From Memories to Milestones\n\nWe are proud to feature our distinguished alumna Ms. Kayalvizhi L, MBA (Batch 2018\u20132020), currently working as an Accounts Payable Executive at Capgemini."", ""url"": ""https://jerusalemengg.ac.in/images/WhatsApp Image 2026-04-09 at 21.45.45.jpeg""}, {""text"": """", ""url"": ""https://jerusalemengg.ac.in/alumni-spotlight.php""}, {""text"": ""Alumni Spotlight \u2013 Department of Biomedical Engineering"", ""url"": ""https://jerusalemengg.ac.in/alumni-spotlight.php""}, {""text"": ""Alumni Talk on \u201cCareer Avenues for Biomedical Engineers as Calibration Engineer\u201d"", ""url"": ""https://jerusalemengg.ac.in/career-avenues-for-bme.php""}]"
Hindustan Institute of Technology and Science,Chennai,https://hindustanuniv.ac.in,Yes,"Found keywords: graduates, alumni, alumni association","[{""text"": ""Alumni"", ""url"": ""https://hindustanuniv.ac.in/alumni-hits""}, {""text"": ""Hindustan Alumni Association (HITSAA)"", ""url"": ""https://alumni.hindustanuniv.ac.in/""}, {""text"": ""Alumni"", ""url"": ""https://hindustanuniv.ac.in/alumni-hits""}, {""text"": ""Alumni (HITSAA)"", ""url"": ""https://hindustanuniv.ac.in/alumni-hits""}]"
Ethiraj College for Women,Chennai,https://ethirajcollege.edu.in,Yes,"Found keywords: alumni, alumna","[{""text"": ""Facebook"", ""url"": ""https://m.facebook.com/Ethiraj-College-Alumnae-Association-411299449686528/""}, {""text"": ""Alumnae"", ""url"": ""https://ethirajcollege.edu.in/alumnae/""}, {""text"": ""Alumnae Registration"", ""url"": ""https://ethirajcollege.edu.in/alumnae-registration/""}, {""text"": ""Alumni Day"", ""url"": ""https://ethirajcollege.edu.in/alumni-day/""}, {""text"": ""Faculty Alumnae"", ""url"": ""https://ethirajcollege.edu.in/faculty-alumnae/""}]"
A.M. Jain College,Chennai,https://amjaincollege.edu,No,"Error accessing website: HTTPSConnectionPool(host='amjaincollege.edu', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108d63d10>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Dr.MGR Janaki College of Arts and Science for Women,Chennai,https://drmgrjanakicollege.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='drmgrjanakicollege.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108d63d10>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Chennai Institute of Technology,Chennai,https://citchennai.edu.in,Yes,Found keywords: alumni,N/A
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Chennai,https://iiitdm.ac.in,Yes,Found keywords: alumni,"[{""text"": ""Alumni"", ""url"": ""https://iiitdm.ac.in/people/alumni""}]"
M.Kumarasamy College of Engineering,Karur,https://mkce.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='mkce.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108beebd0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
